,0
abs_q25,1664.3791675567627
square_range,1663.8746886253357
rollstd16_std_w200_vs_ref,1657.9280180931091
logabs_std_vs_ref,1644.8392353057861
square_kurt_w500_vs_ref,1614.977599620819
rollstd16_q75_vs_ref,1612.32044839859
abs_median,1605.869782924652
logabs_kurt_vs_ref,1585.5871901512146
rollstd16_median,1583.1836214065552
rollstd16_kurt_w20_vs_ref,1580.994915485382
diff_kurt_vs_ref,1578.8452558517456
diff_std_w200_vs_ref,1577.0228509902954
abs_std_w500_vs_ref,1576.2603693008423
diff2_skew,1565.6404428482056
logabs_skew,1556.12753200531
rank_centered_range,1528.9735894203186
rollmean16_std_w100,1527.6422719955444
logabs_kurt,1527.1783533096313
abs_range,1526.7537183761597
sign_skew_ratio,1514.1246781349182
square_kurt_w100_vs_ref,1483.760694026947
diff2_skew_w500,1482.2666726112366
rollstd16_skew_w100_vs_ref,1472.5956358909607
square_skew_vs_ref,1470.4668107032776
levene_t,1468.5314493179321
logabs_skew_ratio,1467.8626461029053
rollmean16_median,1466.8834443092346
rollmean16_kurt_w500,1465.7065601348877
rollstd16_skew_w50_vs_ref,1462.3059015274048
z_kurt_vs_ref,1442.6599164009094
square_kurt_w200_vs_ref,1441.7971487045288
logabs_skew_vs_ref,1439.4475383758545
rollmean16_std_w100_vs_ref,1423.4329862594604
square_std_w200_vs_ref,1418.8618030548096
rank_centered_min_ratio,1418.3397808074951
rollstd16_std_w100_vs_ref,1398.8721904754639
rollmean16_median_vs_ref,1395.571050643921
square_cov_ratio,1393.163110256195
cumsum_skew,1383.8038606643677
square_range_ratio,1362.6643319129944
logabs_std_w500_vs_ref,1354.319990158081
square_median,1354.229552745819
diff_skew_w100_vs_ref,1339.001853466034
logabs_kurt_w500_vs_ref,1336.4555850028992
z_skew_w500_vs_ref,1330.7267117500305
diff_kurt_w500_vs_ref,1328.2344679832458
logabs_mean,1326.7045350074768
mannwhitney_pval,1318.698191165924
rollstd16_std_w20_vs_ref,1318.344952583313
diff2_kurt_w20_vs_ref,1314.5030364990234
square_q75_vs_ref,1302.2642798423767
cumsum_kurt_vs_ref,1301.787672996521
rollstd16_std_w500,1294.1430106163025
diff2_skew_w200_vs_ref,1285.749062538147
abs_std_ratio,1275.0654315948486
diff2_kurt_vs_ref,1272.3796281814575
diff2_std_ratio,1271.0458116531372
abs_kurt_vs_ref,1265.970465183258
cumsum_autocorr,1262.4250354766846
z_median_vs_ref,1226.8817930221558
rollmean16_skew_w200,1222.6829619407654
diff2_std_w200_vs_ref,1222.1048426628113
logabs_std_w500,1217.4122896194458
rank_centered_max_ratio,1216.3242301940918
diff2_skew_w500_vs_ref,1209.9254655838013
square_cov_vs_ref,1197.860559463501
logabs_kurt_w500,1195.692991733551
cumsum_skew_w200_vs_ref,1192.2875142097473
diff_std_ratio,1190.2852177619934
logabs_kurt_ratio,1182.095069885254
rollstd16_q75_ratio,1177.9061732292175
rollmean16_std_w50_vs_ref,1175.871829509735
diff2_std_vs_ref,1173.9546976089478
rank_cov_vs_ref,1173.3630204200745
rollstd16_mean_w200_vs_ref,1172.9265360832214
z_q75_ratio,1168.8111219406128
z_kurt_w500_vs_ref,1167.9562997817993
square_std_vs_ref,1161.9724769592285
logabs_std_w200,1155.6868343353271
z_skew_w100_vs_ref,1147.9153785705566
z_skew_w200,1141.8080801963806
square_skew_w500_vs_ref,1135.9993605613708
diff_kurt_w500,1128.5697293281555
cp_rank_drift,1125.6435813903809
logabs_q25_vs_ref,1124.9844841957092
diff_skew_w50_vs_ref,1121.6984791755676
sign_mean,1108.7572274208069
logabs_max_vs_ref,1107.7824730873108
z_q25_ratio,1106.2057466506958
rollstd16_skew_w500_vs_ref,1097.894124507904
rollstd16_std_w50_vs_ref,1097.6137042045593
diff2_kurt_w500_vs_ref,1094.0821232795715
square_kurt,1093.342924118042
z_kurt_w200,1087.6036958694458
cumsum_kurt_w100_vs_ref,1083.9153113365173
square_std_w500,1080.4508895874023
square_skew,1079.6908535957336
logabs_cov,1074.8213305473328
diff_kurt_w200_vs_ref,1073.1518621444702
logabs_kurt_w200_vs_ref,1071.7366461753845
cp_mean_scan,1064.5033917427063
rollmean16_skew_w200_vs_ref,1063.7597479820251
rollstd16_std_w100,1058.2142724990845
diff2_kurt_w100_vs_ref,1056.7725448608398
diff_std_w100_vs_ref,1055.7022371292114
rank_skew,1053.9213209152222
square_q75,1053.0837922096252
diff_skew_w200_vs_ref,1051.5559930801392
cp_rank_scan,1049.364037513733
diff2_kurt_w200,1045.5426177978516
diff_skew_w200,1032.7577376365662
diff_std_vs_ref,1029.843430519104
rollstd16_skew_w50,1026.6171026229858
rollmean16_kurt_w100,1026.005811214447
rank_std_w200_vs_ref,1023.686767578125
abs_std_vs_ref,1022.7410387992859
cumsum_kurt_w50_vs_ref,1013.0046300888062
diff2_std_w100_vs_ref,1009.579005241394
cumsum_skew_w100_vs_ref,1006.5789198875427
z_kurt,1006.3044333457947
square_median_ratio,1004.8019556999207
abs_skew_vs_ref,1003.9700441360474
rollstd16_std_w200,992.3926668167114
logabs_mean_w200_vs_ref,989.2068572044373
z_skew_w200_vs_ref,988.3421273231506
diff2_kurt_w200_vs_ref,980.8200674057007
diff2_std,978.2804927825928
square_std_w100,975.0681943893433
diff_std,974.8492956161499
